"ide_entrada","ide_portaria","des_portaria","tim_entrada","data_entrada","hora_minuto_entrada","ide_destino","desdestinoGenerico"
2061043,3,Anexo III,2025-10-28 07:02:49.880,28/10/2025,"07:02",25,Restaurante SENAC
2061044,3,Anexo III,2025-10-28 07:03:10.343,28/10/2025,"07:03",25,Restaurante SENAC
2061045,4,Anexo IV - A,2025-10-28 07:06:32.740,28/10/2025,"07:06",25,Restaurante SENAC
2061046,3,Anexo III,2025-10-28 07:08:13.330,28/10/2025,"07:08",20,Restaurante
2061047,2,Anexo II - A,2025-10-28 07:10:05.583,28/10/2025,"07:10",18,Auditório Nereu Ramos
2061048,2,Anexo II - A,2025-10-28 07:11:32.703,28/10/2025,"07:11",23,Banco do Brasil
2064377,2,Anexo II - A,2025-10-28 19:43:25.220,28/10/2025,"19:43",,Bancada Piaui
2064378,2,Anexo II - A,2025-10-28 19:43:49.107,28/10/2025,"19:43",,LIDERNÇA PSDB
2064379,4,Anexo IV - A,2025-10-28 19:43:53.493,28/10/2025,"19:43",,liderança podemos
2064380,5,Chapelaria,2025-10-28 19:47:20.287,28/10/2025,"19:47",51,Salão Branco
2064381,4,Anexo IV - A,2025-10-28 19:47:58.950,28/10/2025,"19:47",,
2064382,3,Anexo III,2025-10-28 19:58:10.477,28/10/2025,"19:58",,Dep. Bohn Gass- Anexo: 3 Gabinete: 873
2064371,4,Anexo IV - A,2025-10-28 19:32:13.903,28/10/2025,"19:32",,Dep. Marcel van Hattem- Anexo: 4 Gabinete: 958
2064372,4,Anexo IV - A,2025-10-28 19:38:10.057,28/10/2025,"19:38",,Dep. Marcel van Hattem- Anexo: 4 Gabinete: 958
2064373,2,Anexo II - A,2025-10-28 19:38:40.680,28/10/2025,"19:38",,Sala: 12
2064374,3,Anexo III,2025-10-28 19:42:10.020,28/10/2025,"19:42",,Dep. Thiago de Joaldo- Anexo: 3 Gabinete: 291
2064375,2,Anexo II - A,2025-10-28 19:42:32.460,28/10/2025,"19:42",14,Plenário 14
2064376,2,Anexo II - A,2025-10-28 19:42:49.840,28/10/2025,"19:42",1,Plenário 1
2064362,4,Anexo IV - A,2025-10-28 19:09:41.957,28/10/2025,"19:09",,Dep. Reinhold Stephanes- Anexo: 4 Gabinete: 221
2064363,4,Anexo IV - A,2025-10-28 19:18:16.653,28/10/2025,"19:18",,Dep. Ricardo Salles- Anexo: 4 Gabinete: 458
2064364,2,Anexo II - A,2025-10-28 19:19:15.450,28/10/2025,"19:19",,lid. PL
2064366,8,Anexo IV - G,2025-10-28 19:20:46.360,28/10/2025,"19:20",,Dep. Filipe Martins- Anexo: 4 Gabinete: 517
2064367,2,Anexo II - A,2025-10-28 19:25:16.043,28/10/2025,"19:25",,Liderança PT
2064368,2,Anexo II - A,2025-10-28 19:26:55.887,28/10/2025,"19:26",,Liderança MDB
2064356,4,Anexo IV - A,2025-10-28 18:58:09.770,28/10/2025,"18:58",,Dep. Padre João- Anexo: 4 Gabinete: 762
2064357,4,Anexo IV - A,2025-10-28 18:59:15.490,28/10/2025,"18:59",,Dep. Merlong Solano- Anexo: 4 Gabinete: 624
2064358,8,Anexo IV - G,2025-10-28 19:03:21.613,28/10/2025,"19:03",25,Restaurante SENAC
2064359,8,Anexo IV - G,2025-10-28 19:09:10.560,28/10/2025,"19:09",,Dep. Diego Andrade- Anexo: 4 Gabinete: 307
2064360,4,Anexo IV - A,2025-10-28 19:09:31.293,28/10/2025,"19:09",,Dep. Stefano Aguiar- Anexo: 4 Gabinete: 341
2064361,4,Anexo IV - A,2025-10-28 19:09:33.497,28/10/2025,"19:09",,Dep. Reinhold Stephanes- Anexo: 4 Gabinete: 221
2064349,4,Anexo IV - A,2025-10-28 18:53:32.330,28/10/2025,"18:53",,Dep. Dimas Gadelha- Anexo: 4 Gabinete: 603
2064350,4,Anexo IV - A,2025-10-28 18:53:37.363,28/10/2025,"18:53",,Dep. Marreca Filho- Anexo: 4 Gabinete: 537
2064351,2,Anexo II - A,2025-10-28 18:54:56.193,28/10/2025,"18:54",9,Plenário 9
2064352,2,Anexo II - A,2025-10-28 18:55:15.053,28/10/2025,"18:55",,Bancada do Rio de Jan
2064354,4,Anexo IV - A,2025-10-28 18:57:16.347,28/10/2025,"18:57",,Dep. Dandara- Anexo: 4 Gabinete: 233
2064355,4,Anexo IV - A,2025-10-28 18:57:26.610,28/10/2025,"18:57",,Dep. Dandara- Anexo: 4 Gabinete: 233
2064343,2,Anexo II - A,2025-10-28 18:46:04.327,28/10/2025,"18:46",9,Plenário 9
2064344,2,Anexo II - A,2025-10-28 18:46:07.090,28/10/2025,"18:46",14,Plenário 14
2064345,2,Anexo II - A,2025-10-28 18:46:34.837,28/10/2025,"18:46",15,Plenário 15
2064346,5,Chapelaria,2025-10-28 18:46:57.717,28/10/2025,"18:46",,LID PT
2064347,2,Anexo II - A,2025-10-28 18:50:07.560,28/10/2025,"18:50",,Liderança União
2064348,4,Anexo IV - A,2025-10-28 18:50:11.640,28/10/2025,"18:50",,Dep. Helio Lopes- Anexo: 4 Gabinete: 405
2064337,2,Anexo II - A,2025-10-28 18:38:03.047,28/10/2025,"18:38",8,Plenário 8
2064338,2,Anexo II - A,2025-10-28 18:38:04.183,28/10/2025,"18:38",8,Plenário 8
2064339,2,Anexo II - A,2025-10-28 18:38:41.953,28/10/2025,"18:38",9,Plenário 9
2064340,5,Chapelaria,2025-10-28 18:40:36.917,28/10/2025,"18:40",57,Quarta Secretaria
